index,Note,Duration
0,C4,0.12342403628117914
1,F4,0.12569160997732426
2,C5,0.1245578231292517
3,E5,0.12476190476190477
4,G5,0.12528344671201813
5,E5,0.1255328798185941
6,C5,0.12401360544217688
7,F4,0.2500453514739229
8,F4,0.12421768707482993
9,C5,0.12612244897959185
10,E5,0.12482993197278912
11,G5,0.49936507936507935
12,C4,0.12555555555555556
13,F4,0.12571428571428572
14,C5,0.12458049886621315
15,E5,0.12480725623582767
16,G5,0.1251700680272109
17,E5,0.12555555555555556
18,C5,0.12401360544217688
19,F4,0.2501360544217687
20,F4,0.12417233560090703
21,C5,0.1261451247165533
22,E5,0.12478458049886622
23,G5,0.4996598639455782
24,B3,0.12564625850340136
25,E4,0.12410430839002268
26,B4,0.12476190476190477
27,D#5,0.12528344671201813
28,F#5,0.12485260770975057
29,D#5,0.12510204081632653
30,B4,0.1254421768707483
